Gene Name	Accession-1	Product	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	UniProt	Synonyms
mcrC	b4345	Type IV methyl-directed restriction enzyme EcoKMcrBC subunit	DNA restriction-modification system	endonuclease complex // cytosol	protein binding // type IV site-specific deoxyribonuclease activity	P15006	
yjiT	b4342	putative uncharacterized protein YjiT				P39391	
yjiS	b4341	DUF1127 domain-containing protein YjiS				P39390	
yjiR	b4340	fused putative DNA-binding transcriptional regulator/putative aminotransferase YjiR	alpha-amino acid metabolic process // biosynthetic process // regulation of DNA-templated transcription // DNA-templated transcription	cytosol	pyridoxal phosphate binding // catalytic activity // DNA-binding transcription factor activity // transferase activity // transaminase activity // DNA binding	P39389	
mdtM	b4337	multidrug efflux pump / bile salt:H<sup>+</sup> antiporter / Na<sup>+</sup>:H<sup>+</sup> antiporter / K<sup>+</sup>:H<sup>+</sup> antiporter	sodium ion transport // potassium ion transport // monoatomic ion transport // proton transmembrane transport // transmembrane transport // sodium ion export across plasma membrane // potassium ion export across plasma membrane // xenobiotic detoxification by transmembrane export across the plasma membrane // bile acid and bile salt transport // regulation of cellular pH // response to antibiotic	membrane // plasma membrane	antiporter activity // transmembrane transporter activity // bile acid transmembrane transporter activity // sodium:proton antiporter activity // potassium:proton antiporter activity	P39386	yjiO
yjiN	b4336	DUF445 domain-containing protein YjiN		membrane // plasma membrane		P39385	
yjiM	b4335	putative dehydratase subunit	DNA damage response	cytosol	lyase activity	P39384	
yjiL	b4334	putative ATPase, activator of (R)-hydroxyglutaryl-CoA dehdratase		cytosol	metal ion binding // iron-sulfur cluster binding // 4 iron, 4 sulfur cluster binding	P39383	
yjiK	b4333	PF06977 family protein YjiK		membrane // plasma membrane		P39382	
yjiJ	b4332	putative transporter YjiJ		membrane // plasma membrane		P39381	
kptA	b4331	RNA 2'-phosphotransferase	tRNA processing // tRNA splicing, via endonucleolytic cleavage and ligation	cytosol	NAD+ ADP-ribosyltransferase activity // tRNA 2'-phosphotransferase activity // transferase activity // transferase activity, transferring phosphorus-containing groups	P39380	yjiI
yjiH	b4330	uncharacterized protein YjiH		membrane // plasma membrane		P39379	
yjiG	b4329	Gate family protein YjiG		membrane // plasma membrane		P0AEH8	
iadA	b4328	isoaspartyl dipeptidase	proteolysis	cytoplasm // cytosol	hydrolase activity // metal ion binding // hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds // metallopeptidase activity // peptidase activity // identical protein binding // zinc ion binding // beta-aspartyl-peptidase activity	P39377	yjiF
hypT	b4327	DNA-binding transcriptional dual regulator HypT	regulation of DNA-templated transcription // DNA-templated transcription	cytosol	DNA-binding transcription factor activity // DNA binding // transcription cis-regulatory region binding // identical protein binding	P39376	qseD // yjiE
iraD	b4326	anti-adaptor protein IraD	cellular response to oxidative stress // positive regulation of DNA-templated transcription // DNA damage response // negative regulation of protein catabolic process	cytoplasm	anti-sigma factor antagonist activity // protein binding	P39375	yjiD
yjiC	b4325	DUF2686 domain-containing protein YjiC				P39374	
uxuR	b4324	DNA-binding transcriptional repressor UxuR	regulation of DNA-templated transcription // DNA-templated transcription	cytosol	DNA-binding transcription factor activity // DNA binding	P39161	
uxuB	b4323	D-mannonate oxidoreductase	mannitol metabolic process // D-glucuronate catabolic process	cytosol	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor // oxidoreductase activity // catalytic activity // fructuronate reductase activity	P39160	
uxuA	b4322	D-mannonate dehydratase	glucuronate catabolic process // DNA damage response // D-glucuronate catabolic process	cytosol	lyase activity // manganese ion binding // ferrous iron binding // mannonate dehydratase activity	P24215	
gntP	b4321	fructuronate transporter	organic substance transport // carbohydrate transmembrane transport // proton transmembrane transport // D-gluconate catabolic process // D-gluconate metabolic process // gluconate transmembrane transport	plasma membrane // membrane	carbohydrate:proton symporter activity // gluconate transmembrane transporter activity	P0AC94	yjiB
fimH	b4320	type 1 fimbriae D-mannose specific adhesin	cell-substrate adhesion // mechanosensory behavior // cell adhesion involved in single-species biofilm formation // cell adhesion	pilus tip // host cell membrane // extracellular region // pilus	protein binding // mannose binding	P08191	pilE
fimG	b4319	type 1 fimbriae minor subunit FimG	cell-substrate adhesion // mechanosensory behavior // cell adhesion involved in single-species biofilm formation // cell adhesion // pilus organization	pilus tip // pilus // extracellular region	protein binding	P08190	
fimF	b4318	type 1 fimbriae minor subunit FimF	cell-substrate adhesion // mechanosensory behavior // cell adhesion involved in single-species biofilm formation // cell adhesion // pilus assembly	pilus tip // pilus // extracellular region		P08189	
fimD	b4317	type I fimbriae usher protein	transmembrane transport // pilus assembly	membrane // cell outer membrane	protein binding // fimbrial usher porin activity	P30130	fimD_1 // fimD_2
fimC	b4316	type 1 fimbriae periplasmic chaperone	cell wall organization // chaperone-mediated protein folding	periplasmic space // outer membrane-bounded periplasmic space	protein binding // protein folding chaperone	P31697	pilB
fimI	b4315	putative fimbrial protein FimI	cell adhesion involved in single-species biofilm formation // cell adhesion // pilus assembly	pilus // extracellular region		P39264	
fimA	b4314	type 1 fimbriae major subunit	cell adhesion involved in single-species biofilm formation // cell adhesion	extracellular region // pilus	identical protein binding	P04128	fimD // pilA
fimE	b4313	regulator for fimA	DNA integration // DNA recombination	cytosol	DNA binding	P0ADH7	hyp // pilH
fimB	b4312	Type 1 fimbriae regulatory protein FimB	DNA damage response // DNA integration // DNA recombination	cytosol	DNA binding	P0ADH5	pil
nanC	b4311	<i>N</i>-acetylneuraminate outer membrane channel	organic substance transport // oligosaccharide transport // sialic acid transport // transmembrane transport // monoatomic ion transport	membrane // pore complex // cell outer membrane	oligosaccharide transporting porin activity // sialic acid transmembrane transporter activity // porin activity	P69856	yjhA
nanM	b4310	<i>N</i>-acetylneuraminate mutarotase	regulation of cell shape // N-acetylneuraminate catabolic process	cell cortex of cell tip // periplasmic space // outer membrane-bounded periplasmic space	protein homodimerization activity // isomerase activity // racemase and epimerase activity, acting on carbohydrates and derivatives	P39371	yjhT
nanS	b4309	<i>N</i>-acetyl-9-<i>O</i>-acetylneuraminate esterase	N-acetylneuraminate metabolic process // carboxylic acid metabolic process	periplasmic space // outer membrane-bounded periplasmic space	hydrolase activity, acting on ester bonds // hydrolase activity // sialate O-acetylesterase activity	P39370	yjhS
yjhR	b4308	KpLE2 phage-like element; PLD-like domain-containing protein YjhR	phosphorus metabolic process // termination of RNA polymerase II transcription	cytosol	hydrolase activity // catalytic activity // transcription termination site sequence-specific DNA binding	P39369	
yjhQ	b4307	KpLE2 phage-like element; putative acetyltransferase TopAI antitoxin YjhQ		cytosol	acyltransferase activity, transferring groups other than amino-acyl groups // transferase activity // acyltransferase activity // protein binding	P39368	
yjhP	b4306	KpLE2 phage-like element; putative methyltransferase YjhP		membrane // cytosol	methyltransferase activity	P39367	
sgcX	b4305	KpLE2 phage-like element; putative endoglucanase with Zn-dependent exopeptidase domain	proteolysis	cytosol	metal ion binding // metallopeptidase activity // peptidase activity // aminopeptidase activity // hydrolase activity	P39366	yjhO
sgcC	b4304	putative PTS enzyme IIC component SgcC	organic substance transport // sorbitol transmembrane transport // galactitol transmembrane transport // carbohydrate transport // phosphoenolpyruvate-dependent sugar phosphotransferase system	transmembrane transporter complex // membrane // plasma membrane	galactitol transmembrane transporter activity	P39365	yjhN
sgcQ	b4303	KpLE2 phage-like element; putative nucleoside triphosphatase		cytosol		P39364	yjhM
sgcA	b4302	putative PTS enzyme IIA component SgcA	organic substance transport // sorbitol transmembrane transport // phosphorylation // carbohydrate transport // phosphoenolpyruvate-dependent sugar phosphotransferase system	transmembrane transporter complex // cytoplasm // cytosol	kinase activity // transferase activity	P39363	yjhL
sgcE	b4301	KpLE2 phage-like element; putative epimerase SgcE	pentose-phosphate shunt, non-oxidative branch // carbohydrate metabolic process	cytosol	D-ribulose-phosphate 3-epimerase activity // racemase and epimerase activity, acting on carbohydrates and derivatives // metal ion binding // isomerase activity	P39362	yjhK
sgcR	b4300	KpLE2 phage-like element; putative DNA-binding transcriptional regulator SgcR	regulation of DNA-templated transcription // DNA-templated transcription	cytosol	DNA-binding transcription factor activity // DNA binding	P39361	yjhJ
yjhI	b4299	KpLE2 phage-like element; putative DNA-binding transcriptional regulator YjhI	negative regulation of DNA-templated transcription // regulation of DNA-templated transcription // DNA-templated transcription	cytosol	DNA-binding transcription factor activity // DNA binding	P39360	
yjhH	b4298	KpLE2 phage-like element; putative 2-dehydro-3-deoxy-D-pentonate aldolase	aldonic acid catabolic process	outer membrane-bounded periplasmic space // cytoplasm // cytosol	lyase activity // 2-dehydro-3-deoxy-D-pentonate aldolase activity	P39359	
yjhG	b4297	KpLE2 phage-like element; D-xylonate dehydratase	carboxylic acid metabolic process // aldonic acid catabolic process	cytosol	hydro-lyase activity // catalytic activity // lyase activity // xylonate dehydratase activity	P39358	
yjhF	b4296	KpLE2 phage-like element; putative transporter YjhF	gluconate transmembrane transport	membrane // plasma membrane	gluconate transmembrane transporter activity	P39357	
yjhU	b4295	KpLE2 phage-like element; putative DNA-binding transcriptional regulator YjhU	regulation of DNA-templated transcription	cytosol	carbohydrate binding // DNA binding	P39356	
insA7	b4294	KpLE2 phage-like element; IS1 repressor protein InsA	DNA transposition // transposition // DNA recombination	cytosol		P19767	
fecI	b4293	RNA polymerase sigma factor FecI	iron ion transport // DNA-templated transcription // intracellular iron ion homeostasis // regulation of DNA-templated transcription initiation // DNA-templated transcription initiation // monoatomic ion transport // regulation of DNA-templated transcription	cytosolic DNA-directed RNA polymerase complex // cytosol	bacterial-type RNA polymerase core enzyme binding // core promoter sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding // sigma factor activity // protein binding	P23484	
fecR	b4292	ferric citrate regulator FecR	iron ion transport // negative regulation of DNA-templated transcription // response to stimulus // monoatomic ion transport // regulation of DNA-templated transcription initiation // intracellular iron ion homeostasis // signal transduction involved in regulation of gene expression	membrane // plasma membrane	sigma factor antagonist activity // transmembrane signaling receptor activity // protein binding	P23485	
fecA	b4291	ferric citrate outer membrane transporter	intracellular iron ion homeostasis // iron ion transport // siderophore transmembrane transport // siderophore transport // monoatomic ion transport // signal transduction involved in regulation of gene expression // regulation of DNA-templated transcription // siderophore-dependent iron import into cell // response to iron ion starvation	transmembrane transporter complex // outer membrane // membrane // cell outer membrane	siderophore-iron transmembrane transporter activity // protein binding // signaling receptor activity	P13036	
fecB	b4290	ferric citrate ABC transporter periplasmic binding protein	iron ion transport // intracellular iron ion homeostasis // iron import into cell // monoatomic ion transport // siderophore-dependent iron import into cell // response to iron ion	membrane // ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing // periplasmic space // outer membrane-bounded periplasmic space	protein binding	P15028	
fecC	b4289	ferric citrate ABC transporter membrane subunit FecC	transmembrane transport // iron ion transport // intracellular iron ion homeostasis // iron import into cell // monoatomic ion transport // siderophore-dependent iron import into cell	membrane // ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing // plasma membrane	transmembrane transporter activity // protein binding // iron chelate transmembrane transporter activity	P15030	
fecD	b4288	ferric citrate ABC transporter membrane subunit FecD	transmembrane transport // iron ion transport // intracellular iron ion homeostasis // iron import into cell // monoatomic ion transport // siderophore-dependent iron import into cell	membrane // ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing // plasma membrane	transmembrane transporter activity // protein binding // iron chelate transmembrane transporter activity	P15029	
fecE	b4287	ferric citrate ABC transporter ATP binding subunit	transmembrane transport // iron ion transport // intracellular iron ion homeostasis // iron import into cell // monoatomic ion transport	membrane // ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing // plasma membrane	ATP hydrolysis activity // nucleotide binding // ATPase-coupled transmembrane transporter activity // ATP binding	P15031	
yjhV	b4286	KpLE2 phage-like element; putative uncharacterized protein YjhV		cytosol		Q47719	
insI3	b4284	KpLE2 phage-like element; IS30 transposase	DNA integration // DNA transposition // transposition // DNA recombination	cytosol	transposase activity // nucleic acid binding // DNA binding	P0CF90	tra8-3
yjhE	b4282	KpLE2 phage-like element; putative membrane protein (pseudogene)	transmembrane transport	plasma membrane // membrane	transmembrane transporter activity	P39355	
yjhD	b4281	KpLE2 phage-like element; surface adhesin E-like protein		cytosol		P39354	
nanY	b4280	KpLE2 phage-like element; 2,7-anhydro-<i>N</i>-acetylneuraminate hydratase	DNA damage response // N-acetylneuraminate catabolic process		catalytic activity // lyase activity // biliverdin reductase (NAD(P)+) activity // nucleotide binding // protein binding // hydro-lyase activity // protein homodimerization activity	P39353	yjhC
nanX	b4279	sialic acid transporter NanX	carboxylic acid transport // transmembrane transport // carboxylic acid transmembrane transport	membrane // plasma membrane	transmembrane transporter activity // carboxylic acid transmembrane transporter activity	P39352	yjhB
insG	b4278	KpLE2 phage-like element; IS<i>4</i> putative transposase	DNA transposition // transposition // DNA recombination	cytosol	transposase activity // DNA binding	P03835	yi41
yjgZ	b4277	KpLE2 phage-like element; uncharacterized protein YjgZ		cytosol		P39351	
yjgW	b4274						
insD6	b4273	KpLE2 phage-like element; IS2 insertion element protein InsB	transposition // DNA integration // DNA recombination	cytosol	DNA binding // nucleic acid binding	P0CF58	yi22-6
insC6	b4272	KpLE2 phage-like element; IS2 insertion element repressor InsA	DNA transposition // transposition // DNA recombination	cytosol	transposase activity // DNA binding	P0CF45	yi21-6
intB	b4271	KpLE2 phage-like element; putative integrase	establishment of integrated proviral latency // symbiont entry into host cell // viral genome integration into host DNA // DNA recombination // DNA integration	cytosol	DNA binding	P39347	int(P4) // yjgC
leuX	b4270	tRNA-Leu(CAA)		cytosol // cytoplasm	triplet codon-amino acid adaptor activity		Su-6 // supP
ahr	b4269	NADPH-dependent aldehyde reductase Ahr	fatty acid metabolic process // lipid metabolic process	cytosol	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor // oxidoreductase activity // metal ion binding // protein homodimerization activity // alcohol dehydrogenase (NADP+) activity // zinc ion binding	P27250	yjgB
idnK	b4268	D-gluconate kinase, thermosensitive	carbohydrate metabolic process // phosphorylation // L-idonate catabolic process // D-gluconate catabolic process // D-gluconate metabolic process	cytoplasm // cytosol	transferase activity // kinase activity // ATP binding // nucleotide binding // gluconokinase activity	P39208	gntV
idnD	b4267	L-idonate 5-dehydrogenase	D-gluconate metabolic process // L-idonate catabolic process	cytosol	L-idonate 5-dehydrogenase activity (NAD-dependent) // protein binding // oxidoreductase activity // metal ion binding // L-idonate 5-dehydrogenase activity	P39346	yjgV
idnO	b4266	5-keto-D-gluconate 5-reductase	L-idonate catabolic process	cytosol	oxidoreductase activity // protein homodimerization activity // gluconate 5-dehydrogenase activity	P0A9P9	yjgU
idnT	b4265	L-idonate/5-ketogluconate/gluconate transporter	organic substance transport // gluconate transmembrane transport // L-idonate catabolic process // D-gluconate metabolic process // L-idonate transmembrane transport // carbohydrate transport	membrane // plasma membrane	L-idonate transmembrane transporter activity // gluconate transmembrane transporter activity	P39344	gntW // yjgT
idnR	b4264	DNA-binding transcriptional dual regulator IdnR	regulation of DNA-templated transcription // D-gluconate metabolic process	cytosol	DNA-binding transcription factor activity // transcription cis-regulatory region binding // DNA binding	P39343	gntS? // gntH // yjgS
yjgR	b4263	DUF853 domain-containing protein YjgR				P39342	
lptG	b4262	lipopolysaccharide transport system protein LptG	Gram-negative-bacterium-type cell outer membrane assembly // transmembrane transport // lipopolysaccharide transport	membrane // transporter complex // ATP-binding cassette (ABC) transporter complex // plasma membrane	protein binding	P0ADC6	yjgQ
lptF	b4261	lipopolysaccharide transport system protein LptF	Gram-negative-bacterium-type cell outer membrane assembly // transmembrane transport // lipopolysaccharide transport	membrane // transporter complex // ATP-binding cassette (ABC) transporter complex // plasma membrane	protein binding	P0AF98	yjgP
pepA	b4260	aminopeptidase A/I	transcription antitermination // protein metabolic process // plasmid maintenance // peptide catabolic process // plasmid recombination // proteolysis // DNA-templated transcription	cytoplasm // cytosol	metalloaminopeptidase activity // hydrolase activity // peptidase activity // manganese ion binding // metalloexopeptidase activity // transcription antitermination factor activity, DNA binding // DNA binding // metal ion binding // aminopeptidase activity	P68767	carP // xerB
holC	b4259	DNA polymerase III subunit &chi;	DNA-templated DNA replication // DNA biosynthetic process // positive regulation of DNA-templated DNA replication initiation // DNA replication // response to radiation	DNA polymerase III complex // replisome // DNA polymerase III, clamp loader complex // cytosol	nucleotidyltransferase activity // transferase activity // DNA binding // protein binding // DNA-directed DNA polymerase activity	P28905	
valS	b4258	valine&mdash;tRNA ligase	aminoacyl-tRNA metabolism involved in translational fidelity // tRNA aminoacylation for protein translation // translation // positive regulation of translational fidelity // cytosolic valyl-tRNA aminoacylation // valyl-tRNA aminoacylation	cytoplasm // cytosol	ligase activity // ATP binding // aminoacyl-tRNA ligase activity // nucleotide binding // magnesium ion binding // aminoacyl-tRNA editing activity // valine-tRNA ligase activity	P07118	val-act
yjgN	b4257	inner membrane protein YjgN		membrane // plasma membrane		P39338	
yjgM	b4256	putative <i>N</i>-acetyltransferase YjgM		cytosol	acyltransferase activity, transferring groups other than amino-acyl groups // N-acetyltransferase activity // transferase activity // acyltransferase activity	P39337	
rraB	b4255	ribonuclease E inhibitor protein B	regulation of endoribonuclease activity // mRNA catabolic process	cytoplasm // cytosol	protein binding // endoribonuclease inhibitor activity // protein homodimerization activity // enzyme binding // ribonuclease inhibitor activity	P0AF90	yjgD
argI	b4254	ornithine carbamoyltransferase ArgI	citrulline biosynthetic process // arginine biosynthetic process via ornithine // metabolic process // ornithine metabolic process // amino acid metabolic process // amino acid biosynthetic process // arginine biosynthetic process	cytoplasm // cytosol	carboxyl- or carbamoyltransferase activity // transferase activity // catalytic activity // metal ion binding // amino acid binding // ornithine carbamoyltransferase activity	P04391	
yjgL	b4253	protein YjgL		cytosol // cell outer membrane	protein binding	P39336	
tabA	b4252	DUF386 domain-containing toxin-antitoxin biofilm protein TabA	single-species biofilm formation	cytosol		P0AF96	yjgK
bdcR	b4251	putative transcriptional regulator BdcR	regulation of biosynthetic process // regulation of primary metabolic process // regulation of DNA-templated transcription // negative regulation of DNA-templated transcription	cytosol	DNA-binding transcription factor activity // transcription cis-regulatory region binding // DNA binding	P39334	yjgJ
b4250	b4250						
bdcA	b4249	c-di-GMP-binding biofilm dispersal mediator protein	single-species biofilm formation	cytosol	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor // oxidoreductase activity // protein homodimerization activity // NADPH binding // cyclic-di-GMP binding	P39333	yjgI
yjgH	b4248	RutC family protein YjgH	organonitrogen compound catabolic process	cytosol	deaminase activity // protein binding	P39332	
b4247	b4247						
pyrL	b4246	<i>pyrBI</i> operon leader peptide	transcriptional attenuation // pyrimidine nucleobase biosynthetic process // pyrimidine nucleotide biosynthetic process	cytosol		P0AD83	pyrE- // pyrE-LP
pyrB	b4245	aspartate carbamoyltransferase catalytic subunit	glutamine metabolic process // amino acid metabolic process // 'de novo' pyrimidine nucleobase biosynthetic process // 'de novo' UMP biosynthetic process // pyrimidine nucleotide biosynthetic process // protein homotrimerization	cytoplasm // aspartate carbamoyltransferase complex // cytosol	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity // identical protein binding // carboxyl- or carbamoyltransferase activity // amino acid binding // protein binding // transferase activity // aspartate carbamoyltransferase activity	P0A786	
pyrI	b4244	aspartate carbamoyltransferase, PyrI subunit	'de novo' pyrimidine nucleobase biosynthetic process // pyrimidine nucleotide biosynthetic process	cytoplasm // aspartate carbamoyltransferase complex	metal ion binding // protein binding // zinc ion binding	P0A7F3	
ridA	b4243	enamine/imine deaminase, redox-regulated chaperone	organonitrogen compound catabolic process // isoleucine biosynthetic process // branched-chain amino acid biosynthetic process // amino acid biosynthetic process // protein homotrimerization // response to toxic substance	membrane // cytoplasm // protein-containing complex // cytosol	2-iminobutanoate deaminase activity // 2-iminopropanoate deaminase activity // 2-iminobutanoate/2-iminopropanoate deaminase // hydrolase activity // identical protein binding // unfolded protein binding // deaminase activity	P0AF93	yjgF
mgtA	b4242	Mg<sup>2+</sup> importing P-type ATPase	monoatomic ion transmembrane transport // magnesium ion transport // cellular response to magnesium ion // magnesium ion transmembrane transport	intracellular membrane-bounded organelle // membrane // plasma membrane	ATP hydrolysis activity // ATPase-coupled monoatomic cation transmembrane transporter activity // metal ion binding // nucleotide binding // P-type ion transporter activity // protein binding // ATP binding // P-type magnesium transporter activity	P0ABB8	atmA // corB // mgt // mtg
treR	b4241	DNA-binding transcriptional repressor TreR	regulation of DNA-templated transcription // trehalose metabolic process // negative regulation of DNA-templated transcription	cytosol // cytoplasm	transcription cis-regulatory region binding // DNA binding // DNA-binding transcription factor activity	P36673	
treB	b4240	trehalose-specific PTS enzyme IIBC component	organic substance transport // phosphorylation // trehalose transport // phosphoenolpyruvate-dependent sugar phosphotransferase system	membrane // plasma membrane	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity // trehalose transmembrane transporter activity // kinase activity // transferase activity // protein binding // protein-phosphocysteine-trehalose phosphotransferase system transporter activity	P36672	
treC	b4239	trehalose-6-phosphate hydrolase	amino acid transport // maltose catabolic process // sucrose catabolic process // oligosaccharide catabolic process // metabolic process // carbohydrate metabolic process // DNA damage response // trehalose catabolic process	cytoplasm // cytosol	glucan 1,4-alpha-maltotriohydrolase activity // maltose alpha-glucosidase activity // sucrose alpha-glucosidase activity // oligo-1,6-glucosidase activity // alpha-amylase activity // hydrolase activity, acting on glycosyl bonds // hydrolase activity // alpha,alpha-phosphotrehalase activity	P28904	treE // olgH
nrdD	b4238	anaerobic ribonucleoside-triphosphate reductase	metabolic process // DNA replication // nucleobase-containing small molecule interconversion // 2'-deoxyribonucleotide biosynthetic process	cytosol // anaerobic ribonucleoside-triphosphate reductase complex	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor // oxidoreductase activity // catalytic activity // metal ion binding // nucleotide binding // protein binding // dATP binding // dGTP binding // pyrimidine deoxyribonucleotide binding // protein homodimerization activity // zinc ion binding // CTP reductase activity // ribonucleoside-triphosphate reductase activity // ATP binding	P28903	
nrdG	b4237	anaerobic ribonucleoside-triphosphate reductase activating protein	2'-deoxyribonucleotide biosynthetic process // nucleobase-containing small molecule interconversion	cytoplasm // anaerobic ribonucleoside-triphosphate reductase complex // cytosol	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor // protein binding // catalytic activity // [formate-C-acetyltransferase]-activating enzyme activity // iron-sulfur cluster binding // metal ion binding // oxidoreductase activity // 4 iron, 4 sulfur cluster binding	P0A9N8	yjgE
cybC	b4236						cytochrome b562
tldE	b4235	metalloprotease subunit TldE	proteolysis // protein processing	peptidase complex // cytosol // cytoplasm	hydrolase activity // metallopeptidase activity // peptidase activity // protein binding	P0AFK0	mcb // pmbA
yjgA	b4234	putative ribosome biogenesis factor YjgA	assembly of large subunit precursor of preribosome	cytoplasm // cytosol	ribosomal large subunit binding	P0A8X0	
mpl	b4233	UDP-<i>N</i>-acetylmuramate&mdash;L-alanyl-&gamma;-D-glutamyl-<i>meso</i>-2,6-diaminoheptanedioate ligase	biosynthetic process // peptidoglycan turnover // cell division // peptidoglycan biosynthetic process // regulation of cell shape // cell cycle // cell wall organization	cytoplasm // extracellular region // cytosol	UDP-N-acetylmuramate-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptanedioate ligase activity // guanosine tetraphosphate binding // identical protein binding // ligase activity // ATP binding // nucleotide binding // acid-amino acid ligase activity	P37773	tpl // yjfG
fbp	b4232	fructose-1,6-bisphosphatase 1	carbohydrate biosynthetic process // fructose 1,6-bisphosphate metabolic process // fructose 6-phosphate metabolic process // fructose metabolic process // sucrose biosynthetic process // metabolic process // carbohydrate metabolic process // gluconeogenesis	cytoplasm // protein-containing complex // cytosol	magnesium ion binding // phosphatase activity // phosphoric ester hydrolase activity // hydrolase activity // catalytic activity // metal ion binding // nucleotide binding // identical protein binding // fructose 1,6-bisphosphate 1-phosphatase activity	P0A993	fdp
yjfF	b4231	galactofuranose ABC transporter putative membrane subunit YjtF	organic substance transport // hexose import across plasma membrane // transmembrane transport	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing // membrane // ATP-binding cassette (ABC) transporter complex // plasma membrane	transmembrane transporter activity // primary active transmembrane transporter activity	P37772	
ytfT	b4230	galactofuranose ABC transporter putative membrane subunit YtfT	organic substance transport // hexose import across plasma membrane // transmembrane transport	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing // membrane // ATP-binding cassette (ABC) transporter complex // plasma membrane	transmembrane transporter activity // protein binding // primary active transmembrane transporter activity	P39328	
ytfQ	b4227	galactofuranose ABC transporter periplasmic binding protein	organic substance transport // hexose import across plasma membrane // galactose transmembrane transport	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing // periplasmic space // outer membrane-bounded periplasmic space	carbohydrate binding // galactose binding	P39325	
ppa	b4226	inorganic pyrophosphatase	phosphate-containing compound metabolic process	membrane // cytoplasm // cytosol	metal ion binding // hydrolase activity // inorganic triphosphate phosphatase activity // protein binding // zinc ion binding // magnesium ion binding // inorganic diphosphate phosphatase activity	P0A7A9	
chpB	b4225	endoribonuclease toxin ChpB	regulation of DNA-templated transcription // single-species biofilm formation // regulation of growth // rRNA catabolic process // mRNA catabolic process // regulation of mRNA stability // negative regulation of cell growth	toxin-antitoxin complex // cytosol	hydrolase activity // endonuclease activity // nuclease activity // RNA binding // RNA endonuclease activity // DNA binding // RNA endonuclease activity, producing 5'-phosphomonoesters	P33647	yjfE // chpBK
chpS	b4224	ChpS antitoxin of the ChpB-ChpS toxin-antitoxin system	regulation of DNA-templated transcription // single-species biofilm formation // regulation of growth // positive regulation of cell growth	toxin-antitoxin complex // cytosol	toxin sequestering activity // protein binding // DNA binding	P08365	chpBI // yjfB
yzfA	b4223						yjfA // ileR
ytfP	b4222	&gamma;-glutamylamine cyclotransferase family protein YtfP		cytosol	gamma-glutamylaminecyclotransferase activity	P0AE48	
tamB	b4221	translocation and assembly module subunit TamB	protein localization to outer membrane // protein secretion	membrane // plasma membrane // cell outer membrane // TAM protein secretion complex	protein binding	P39321	ytfO // ytfN
tamA	b4220	translocation and assembly module subunit TamA	protein transport // protein localization to outer membrane // protein secretion	plasma membrane // outer membrane // membrane // TAM protein secretion complex // cell outer membrane	protein binding	P0ADE4	ytfM
msrA	b4219	methionine sulfoxide reductase A	protein modification process // cellular response to oxidative stress // protein repair // response to oxidative stress	cytoplasm // cytosol	L-methionine:thioredoxin-disulfide S-oxidoreductase activity // oxidoreductase activity // L-methionine-(S)-S-oxide reductase activity // oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor // peptide-methionine (S)-S-oxide reductase activity	P0A744	pms // pmsR
paeA	b4218	putative cadaverine/putrescine exporter		membrane // plasma membrane	flavin adenine dinucleotide binding	P0AE45	ytfL
ytfK	b4217	stringent response modulator YtfK	cellular response to phosphate starvation // stringent response // response to oxidative stress		protein binding	P0ADE2	
ytfJ	b4216	PF09695 family protein YtfJ		periplasmic space		P39187	ecfJ
ytfI	b4215	protein YtfI		cytosol		P39317	
cysQ	b4214	3'(2'),5'-bisphosphate nucleotidase	3'-phosphoadenosine 5'-phosphosulfate metabolic process // sulfur compound metabolic process // phosphatidylinositol phosphate biosynthetic process // sulfate assimilation	cytosol // plasma membrane // membrane	metal ion binding // hydrolase activity // 3'(2'),5'-bisphosphate nucleotidase activity // magnesium ion binding	P22255	amt // amtA
cpdB	b4213	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase	nucleotide catabolic process // nucleotide metabolic process // metabolic process // DNA damage response	outer membrane-bounded periplasmic space // periplasmic space	nucleotidase activity // hydrolase activity, acting on ester bonds // hydrolase activity // catalytic activity // metal ion binding // nucleotide binding // 3'-nucleotidase activity // 2',3'-cyclic-nucleotide 2'-phosphodiesterase activity	P08331	
